"ip","app","device","os","channel","is_attributed","hour","minute","second"
103161,13,1,3,400,0,12,47,6
59075,14,2,30,467,0,11,13,17
239191,3,1,19,452,0,12,48,30
85839,2,1,19,435,0,6,57,7
71424,3,1,22,280,0,6,45,17
63516,27,1,13,153,0,12,5,34
37919,6,1,19,459,0,17,13,19
43809,3,1,17,280,0,11,11,50
39454,6,1,13,125,0,13,37,35
8718,12,1,13,259,0,2,7,48
58950,2,1,19,237,0,1,18,50
86812,2,1,32,401,0,12,1,9
55805,18,1,16,107,0,18,53,51
175660,20,1,13,259,0,1,13,51
29785,14,1,19,113,0,2,59,48
88881,9,1,12,466,0,11,46,39
134615,12,1,9,178,0,10,0,54
34352,3,1,19,211,0,6,3,58
124320,3,1,17,409,0,6,2,37
80306,14,1,22,401,0,23,52,23
24830,3,2,19,280,0,5,1,1
195224,12,1,19,245,0,7,55,58
72805,26,1,6,121,0,10,49,19
93498,25,1,19,259,0,9,58,21
111685,22,1,22,116,0,6,48,6
83366,1,1,17,153,0,2,30,2
94844,3,1,53,452,0,8,37,45
105311,18,1,13,121,0,8,21,52
168144,3,1,20,280,0,0,40,37
20592,3,1,17,280,0,5,58,55
100002,3,1,41,280,0,2,29,19
37515,3,1,19,280,0,15,59,24
121357,3,1,13,280,0,0,6,49
63925,22,2,17,496,0,8,52,29
83366,12,1,6,265,0,5,20,27
26995,3,1,13,280,0,5,49,46
37836,2,1,19,219,0,8,5,7
11090,3,1,19,280,0,9,8,18
65785,3,1,19,280,0,1,7,59
94765,10,1,10,377,0,4,28,13
98363,12,1,25,481,0,10,38,38
106241,2,1,53,477,0,3,19,48
112950,15,1,25,386,0,4,13,44
11668,20,1,8,478,0,0,24,59
91885,15,1,19,315,0,15,22,50
105292,8,1,17,145,0,17,39,28
108048,22,1,19,116,0,4,43,51
113751,12,1,8,259,0,0,54,53
66232,2,1,18,469,0,11,14,21
69315,3,1,1,489,0,8,48,26
64663,3,1,19,280,0,5,41,46
69197,2,1,26,469,0,3,24,27
125481,18,1,13,134,0,14,32,27
143473,14,1,13,463,0,20,1,14
169833,12,1,20,265,0,7,7,52
75634,3,1,19,280,0,11,48,45
46132,1,1,13,153,0,2,47,43
111025,18,1,1,439,0,9,48,50
62145,2,1,13,219,0,15,10,45
191961,18,1,17,107,0,1,59,27
133804,9,1,18,334,0,13,15,18
61423,20,1,19,259,0,6,49,57
49850,12,1,32,105,0,20,45,7
151507,2,1,47,435,0,15,20,39
73456,60,1,46,21,0,5,32,54
5348,58,3866,866,347,0,14,12,6
88789,9,1,30,234,0,4,39,56
37892,2,1,19,236,0,13,6,36
234832,8,1,41,145,0,7,27,41
145896,2,1,9,212,0,16,9,13
109299,15,2,65,245,0,22,18,35
12549,3,1,27,280,0,11,53,46
103443,2,1,13,237,0,20,13,12
46637,14,1,22,379,0,9,33,43
11907,15,1,41,265,0,5,16,11
98531,12,1,19,328,0,13,55,57
198014,3,1,13,173,0,15,54,27
47689,9,1,8,244,0,11,28,29
96037,12,1,19,328,0,4,5,59
3966,60,1,3,21,0,22,39,41
34725,3,1,1,280,0,11,35,5
285115,18,1,13,439,0,15,8,40
15540,9,1,13,334,0,10,36,33
49882,21,1,28,232,0,8,53,51
20411,21,1,14,128,0,5,40,8
33076,3,1,19,280,0,8,2,44
103021,3,1,19,280,0,14,35,35
313388,3,1,8,280,0,0,25,49
76453,9,1,3,466,0,6,45,47
175837,2,1,19,205,0,8,55,33
58614,26,1,16,266,0,14,23,15
49439,28,1,19,135,0,10,10,34
51544,18,1,22,439,0,2,54,58
334359,9,1,13,445,0,17,26,55
59142,3,1,19,173,0,13,4,27
246196,2,1,17,219,0,12,37,45
158559,18,1,37,107,0,1,20,58
68362,15,1,6,265,0,12,28,10
14130,3,1,26,379,0,14,4,12
24966,21,1,13,128,0,1,52,22
45745,23,1,20,153,0,13,43,3
67658,15,1,19,245,0,12,52,34
90306,9,1,19,258,0,14,39,49
23620,11,1,19,173,0,5,14,57
175837,18,1,13,439,0,12,55,8
122292,64,1,19,459,0,10,59,54
57335,3,1,8,280,0,5,53,23
159688,9,1,19,334,0,10,35,22
93226,9,1,19,442,0,0,48,23
97814,15,1,13,130,0,8,31,18
76529,14,1,13,442,0,11,28,4
51778,3,1,19,130,0,12,48,31
88743,2,1,13,237,0,3,25,51
43899,27,1,13,153,0,11,53,3
5348,18,1,8,107,0,2,19,31
50164,2,1,18,435,0,15,9,35
357463,26,1,19,262,0,8,32,26
131283,12,1,2,145,0,11,58,26
291594,7,1,55,101,0,10,19,1
87865,12,1,37,140,0,2,14,44
116067,18,1,19,121,0,0,36,34
115581,2,1,19,205,0,16,42,52
5314,18,1,19,107,0,9,35,33
81009,13,1,12,477,0,2,58,20
105170,9,1,13,232,0,2,8,47
224120,19,0,29,213,1,2,22,13
7815,12,1,17,265,0,14,38,25
30724,14,1,25,463,0,0,54,11
290743,12,1,18,265,0,14,20,36
22088,12,1,13,409,0,3,41,46
73487,3,1,8,280,0,12,16,9
38755,9,1,13,134,0,0,51,46
173141,9,1,22,215,0,9,20,52
125271,12,1,26,105,0,11,11,25
84774,15,1,22,140,0,11,42,14
195958,26,1,42,121,0,5,20,40
87998,20,1,20,478,0,10,39,2
24977,32,1,39,376,0,12,7,24
7785,11,1,20,219,0,15,17,31
27849,12,1,34,328,0,9,8,49
105475,7,1,40,101,0,14,5,21
68568,18,1,22,107,0,7,59,47
340406,12,1,16,178,0,9,47,4
28310,3,1,19,280,0,5,41,36
32001,21,1,13,128,0,11,19,43
53454,18,2,97,121,0,14,54,56
164682,14,1,13,439,0,7,8,43
7246,23,1,9,153,0,3,40,32
92844,3,1,20,452,0,13,46,25
521,64,1,19,459,0,9,4,43
10760,18,1,19,107,0,0,50,28
103340,3,1,19,130,0,17,8,54
106541,17,1,13,280,0,0,50,35
44607,12,1,15,178,0,5,50,32
52923,24,1,22,105,0,7,8,46
45841,3,1,14,280,0,2,20,33
7372,20,1,16,478,0,8,56,57
83668,12,1,47,328,0,6,0,55
18350,1,1,10,137,0,2,7,57
109764,18,3032,607,107,0,13,5,17
105475,27,1,32,153,0,14,36,19
30443,9,1,13,334,0,6,31,30
141474,3,1,13,409,0,13,56,52
134346,2,1,19,452,0,13,59,40
110595,2,1,17,258,0,14,17,37
81001,12,1,13,328,0,9,28,50
175369,20,1,13,478,0,14,11,13
114439,22,1,18,116,0,13,24,56
53960,2,1,13,205,0,15,41,32
5788,3,1,13,280,0,3,5,35
79921,20,1,8,478,0,23,43,6
59401,8,1,3,145,0,16,18,6
55776,9,1,13,127,0,13,13,16
92766,12,1,13,259,0,6,57,18
206284,12,2,79,145,0,17,43,5
174783,4,1,49,101,0,3,42,22
25321,12,1,13,265,0,8,16,56
73516,53,3866,866,347,0,0,58,9
111414,18,1,13,121,0,21,49,57
176758,11,1,20,319,0,1,35,46
144507,12,1,17,265,0,2,46,34
106279,12,1,19,178,0,23,58,43
73582,1,1,19,153,0,15,26,59
99945,3,1,19,480,0,2,46,48
93424,2,1,19,435,0,9,5,42
157650,3,1,17,130,0,3,51,6
120594,18,1,37,439,0,10,42,44
7346,2,1,37,477,0,14,33,56
86767,12,1,35,340,0,7,12,6
26934,8,1,1,145,0,0,15,55
27095,23,1,18,153,0,1,30,38
166206,15,1,19,412,0,1,6,43
78564,12,1,19,178,0,0,29,34
158511,14,1,9,480,0,10,12,0
81013,11,1,13,319,0,3,44,45
211682,18,3032,607,107,0,9,21,22
100182,11,1,25,137,0,17,28,19
95640,12,1,17,178,0,9,57,10
87879,9,1,10,134,0,16,14,50
74606,24,1,13,105,0,4,45,12
79012,3,1,4,211,0,18,32,19
84942,3,1,30,280,0,3,27,42
66272,15,1,6,245,0,23,28,18
38413,3,1,13,19,0,8,37,58
89475,14,1,27,442,0,9,0,33
33661,12,1,13,409,0,16,23,18
100929,12,1,26,424,0,2,43,14
9795,3,1,13,205,0,4,7,36
182972,3,1,19,280,0,3,4,16
162383,3,1,10,205,0,4,47,0
280918,15,1,19,3,0,11,44,19
114878,2,1,19,205,0,12,39,16
112926,3,1,17,424,0,1,36,11
2144,15,1,22,278,0,23,43,11
186269,12,1,44,265,0,18,57,21
111025,18,1,19,107,0,12,59,23
38941,2,1,19,477,0,16,3,29
92160,3,1,19,480,0,5,4,28
175051,2,1,19,243,0,2,23,50
217464,12,1,19,259,0,3,8,40
81468,21,1,17,128,0,3,20,59
60428,21,2,9,128,0,15,8,27
49431,9,2,19,127,0,15,32,13
18682,3,1,20,280,0,5,2,17
90782,9,1,19,134,0,0,49,14
44527,21,2,19,128,0,10,17,42
88756,11,1,19,360,0,9,14,21
25126,3,1,37,135,0,10,6,58
68525,15,1,11,153,0,7,30,51
111182,9,1,19,466,0,16,3,50
70098,14,1,19,442,0,14,32,17
75007,12,1,6,259,0,14,1,35
33021,3,1,40,280,0,0,28,26
8499,15,1,19,3,0,1,55,6
120111,3,1,18,409,0,14,22,37
37135,21,2,13,232,0,2,6,6
106035,2,1,13,122,0,14,29,21
99897,2,1,6,237,0,11,38,24
52413,18,1,25,107,0,11,55,30
9923,12,1,18,328,0,13,36,43
10785,9,1,32,489,0,3,19,7
4680,2,1,19,122,0,10,0,40
67884,3,1,8,424,0,3,39,14
304381,18,1,9,121,0,17,26,29
6113,28,1,19,135,0,18,42,18
114461,2,1,19,237,0,11,24,33
166443,9,1,19,244,0,11,16,3
116351,2,1,19,435,0,2,6,22
333899,6,1,32,125,0,16,0,46
119868,3,1,19,130,0,10,32,44
229907,2,1,22,477,0,4,5,1
53964,18,1,20,107,0,10,14,18
73487,3,1,47,417,0,14,29,34
105782,15,2,13,245,0,14,42,36
117867,9,1,8,234,0,14,26,42
93313,12,1,13,328,0,2,45,7
14463,18,1,19,107,0,12,12,10
141540,1,1,10,135,0,1,7,31
168224,3,1,9,280,0,13,20,57
24941,3,1,13,130,0,2,17,14
6262,3,1,8,280,0,8,8,10
44443,12,1,6,140,0,4,47,7
102301,18,1,3,121,0,7,17,46
8356,15,1,17,153,0,12,58,45
39175,9,1,18,215,0,14,8,15
47306,3,1,13,466,0,23,56,29
79881,3,1,19,205,0,16,56,35
28420,1,1,25,115,0,13,36,20
100339,3,1,13,424,0,19,14,20
69043,12,1,18,328,0,9,22,35
205574,9,1,12,466,0,4,22,11
50302,3,1,13,205,0,10,10,39
262808,15,1,18,245,0,13,42,7
43537,14,1,14,379,0,1,55,44
92922,9,1,19,442,0,7,6,31
164215,25,1,13,259,0,6,50,57
36979,24,2,13,105,0,11,23,19
339433,12,1,17,178,0,2,21,17
81514,2,1,13,477,0,23,14,16
204845,2,1,16,469,0,7,13,1
201540,14,1,13,439,0,17,16,12
92274,18,1,12,376,0,10,0,25
14639,26,1,13,121,0,16,7,41
114531,15,1,37,245,0,0,48,53
57994,9,1,13,134,0,23,21,22
290631,18,1,27,439,0,5,55,10
58524,3,1,15,480,0,4,58,5
84661,14,1,22,480,0,8,4,24
163553,18,1,19,317,0,4,50,16
100309,2,1,16,477,0,2,54,37
1067,3,1,26,409,0,11,59,44
259034,21,1,27,128,0,23,1,24
30424,18,1,19,107,0,10,3,34
121287,3,1,53,480,0,23,37,32
91048,1,1,4,134,0,20,31,59
167783,3,1,35,130,0,6,11,36
111195,3,1,8,489,0,9,19,57
117722,13,1,19,477,0,12,21,3
87167,3,1,20,280,0,4,28,16
44067,14,1,10,401,0,23,54,44
163416,14,1,13,379,0,1,3,27
67981,27,1,19,153,0,12,6,9
5621,12,1,1,160,0,23,10,22
88228,2,1,19,364,0,13,43,25
22352,3,1,13,280,0,6,50,27
85904,8,2,13,140,0,4,38,18
95750,18,1,16,439,0,11,26,5
58194,25,1,19,259,0,8,19,8
60752,2,1,23,237,0,15,31,52
30587,18,1,25,439,0,6,45,54
166181,18,1,13,439,0,9,13,2
43827,7,1,13,101,0,10,57,54
23322,12,1,15,178,0,10,47,55
85631,2,1,6,237,0,4,0,28
9281,15,1,13,386,0,6,9,41
81837,12,1,19,259,0,13,58,14
98365,13,1,19,477,0,12,8,54
125990,3,1,9,115,0,13,18,29
101650,12,1,13,328,0,4,6,45
93920,9,1,13,107,0,15,42,13
207899,3,1,25,424,0,0,43,13
63701,9,1,23,334,0,8,11,45
272894,10,1,7,113,1,6,10,5
95766,15,1,19,245,0,2,33,52
62016,12,1,27,259,0,5,26,28
107025,3,1,19,280,0,10,8,1
33924,3,1,42,211,0,8,33,4
231434,12,1,3,178,0,5,11,39
118079,2,1,19,236,0,11,37,21
141207,3,1,13,280,0,1,24,0
44458,12,1,13,328,0,12,21,30
54524,3,2,13,280,0,22,55,23
114636,12,1,23,245,0,2,7,4
359429,9,1,13,466,0,9,10,4
119289,18,1,19,107,0,12,46,46
18942,9,1,25,215,0,13,35,5
7340,2,1,13,212,0,16,41,15
122282,8,1,17,145,0,2,27,51
7435,125,0,0,110,0,11,24,9
12167,12,1,22,265,0,1,21,47
6831,12,1,9,265,0,7,26,20
83366,12,1,10,140,0,12,2,55
8401,9,2,42,258,0,22,5,54
29467,18,1,19,107,0,13,1,42
115814,1,2,9,134,0,0,27,11
181741,3,1,18,137,0,13,56,8
17572,2,1,19,452,0,2,34,27
86767,18,1,14,107,0,15,24,46
22256,17,1,13,280,0,3,34,0
194163,2,1,19,469,0,1,45,32
2511,2,1,6,317,0,10,28,50
47648,12,1,22,328,0,3,36,30
95866,14,1,13,480,0,7,6,52
114612,3,1,18,280,0,2,59,23
122688,27,1,13,153,0,11,56,44
93054,12,1,13,328,0,22,17,9
185372,12,1,13,178,0,2,53,53
73516,204,3543,748,347,0,14,12,37
82813,15,1,19,245,0,4,0,11
2539,12,1,28,328,0,2,22,27
116351,26,1,37,266,0,5,30,0
35335,21,1,41,232,0,11,30,57
73983,18,1,9,134,0,11,40,9
43233,6,1,10,125,0,2,33,11
236144,1,1,27,153,0,5,2,35
75595,9,1,22,134,0,0,27,25
253793,9,1,6,445,0,7,49,36
102255,12,1,19,178,0,9,1,4
64639,18,1,47,107,0,10,16,45
19216,1,1,17,178,0,22,49,59
23271,3,1,19,19,0,6,55,59
118125,36,1,18,110,0,10,39,52
89567,12,1,13,135,0,11,50,0
6996,1,1,9,134,0,22,38,34
29533,2,1,13,122,0,15,35,40
70522,3,1,6,137,0,6,14,17
7795,7,1,19,101,0,6,51,25
126985,2,1,19,219,0,17,23,48
49407,14,1,19,379,0,11,41,53
90500,3,1,13,280,0,3,47,4
13034,18,1,35,121,0,13,44,13
42062,12,1,16,178,0,5,33,58
43809,12,1,17,178,0,1,57,47
43537,15,1,13,265,0,6,46,26
27818,9,1,19,334,0,9,1,52
25563,64,1,19,459,0,18,5,18
101894,12,1,13,259,0,7,51,55
51871,3,1,18,280,0,5,47,21
110628,18,1,19,134,0,13,36,15
21925,10,1,6,377,0,17,5,32
209627,3,1,13,280,0,12,33,50
86285,9,1,13,244,0,2,8,34
91250,14,1,6,489,0,3,23,46
64960,3,1,19,417,0,0,30,2
86388,12,1,35,245,0,22,56,16
26682,12,1,3,259,0,13,31,30
139216,15,1,13,140,0,10,0,35
106223,2,1,13,122,0,17,29,22
361422,24,1,11,178,0,2,46,8
42240,9,1,20,145,0,12,1,2
75374,5,1,8,377,0,4,22,30
88162,18,1,18,439,0,13,41,39
46132,3,1,13,115,0,3,18,2
196018,12,1,25,205,0,9,26,23
43827,8,1,13,140,0,2,0,11
9147,7,1,18,101,0,6,51,50
106000,1,1,19,134,0,13,7,40
69605,28,1,19,135,0,7,35,16
53454,12,1,19,409,0,14,28,24
235120,23,1,19,153,0,15,24,35
46413,6,1,20,125,0,12,43,3
10785,18,1,18,107,0,4,14,59
5729,3,1,13,280,0,22,42,30
4442,15,2,9,245,0,12,23,9
22385,12,1,22,245,0,6,12,10
60381,12,1,36,140,0,2,14,22
98944,15,1,22,140,0,17,7,5
118339,11,1,35,122,0,17,8,39
125175,3,1,8,280,0,1,26,49
23986,3,1,25,280,0,3,9,20
52961,18,1,20,121,0,13,3,59
45745,6,1,13,459,0,17,25,40
108947,1,1,18,134,0,0,53,10
95766,12,1,13,140,0,14,24,12
66596,27,1,13,153,0,0,47,44
116935,18,1,8,107,0,23,30,24
25679,2,1,19,237,0,1,31,11
118284,15,1,27,265,0,17,38,46
325602,25,1,13,259,0,13,9,9
14895,3,1,13,280,0,4,0,9
71017,64,1,13,459,0,8,4,1
211747,2,1,6,477,0,11,26,27
37161,7,1,36,101,0,18,2,11
162367,19,0,99,347,0,23,39,29
2600,23,1,22,153,0,12,17,47
117989,18,1,10,107,0,12,21,47
52672,3,1,19,280,0,13,2,3
51686,8,1,25,145,0,8,39,46
85150,15,1,3,379,0,21,1,11
112291,6,1,15,459,0,3,59,47
81973,27,1,20,153,0,15,29,18
66184,9,1,13,445,0,3,40,2
201182,3,1,25,211,0,16,13,0
96021,18,1,6,107,0,12,9,7
40372,3,1,35,280,0,8,55,14
213099,3,1,25,280,0,14,26,0
93587,18,1,13,134,0,14,34,28
47145,11,1,13,319,0,7,27,17
260488,32,1,23,376,0,6,15,13
166986,20,1,13,259,0,4,14,58
8005,12,1,18,105,0,7,22,29
28110,15,1,25,265,0,14,31,31
49754,3,1,13,137,0,10,24,9
110325,10,1,19,317,0,7,14,12
72467,15,1,41,386,0,8,6,22
40045,2,1,8,377,0,16,22,23
92834,2,1,19,477,0,7,51,12
119008,12,1,22,265,0,14,8,23
178522,9,1,18,442,0,5,43,1
47140,12,1,30,265,0,2,59,8
342636,15,1,31,379,0,2,46,27
131492,14,1,22,480,0,23,48,17
76181,2,1,23,122,0,12,53,16
20449,15,1,19,245,0,12,32,7
59903,12,1,19,178,0,7,23,34
144208,9,1,13,442,0,16,7,52
13212,11,1,19,469,0,3,27,33
97883,2,1,35,435,0,6,35,21
552,12,1,13,259,0,5,31,36
63787,13,1,18,400,0,5,18,18
59910,18,1,19,121,0,14,18,1
35705,12,1,19,328,0,6,6,20
67467,12,1,17,124,0,1,59,6
33762,64,1,13,459,0,0,32,55
78787,18,1,22,134,0,13,28,22
16478,9,1,19,334,0,7,2,22
63516,9,1,19,234,0,13,14,18
81522,64,1,27,459,0,6,16,51
21126,6,1,13,459,0,9,10,1
12543,2,1,2,477,0,17,55,55
203499,12,1,13,122,0,17,39,34
66918,18,1,79,121,0,15,45,32
95585,3,1,43,409,0,22,25,54
47293,25,1,18,259,0,3,19,51
219,9,1,19,232,0,15,38,7
116253,3,1,15,424,0,10,0,42
167368,2,1,15,236,0,15,29,46
27083,15,1,30,278,0,20,32,32
106143,3,1,31,280,0,12,37,56
213289,13,1,13,477,0,0,22,27
15251,12,1,22,19,0,0,53,32
56516,19,7,21,282,0,11,30,41
40838,2,1,14,377,0,4,48,6
124763,12,1,18,140,0,2,39,32
85107,3,1,2,379,0,6,14,21
125355,7,1,13,101,0,10,34,14
147865,3,1,22,280,0,2,21,30
58415,3,1,41,280,0,0,59,51
8482,3,1,25,211,0,17,28,12
83252,7,1,13,101,0,10,57,19
111299,26,1,13,121,0,6,3,44
85536,15,1,17,140,0,15,40,33
15360,2,1,14,237,0,6,57,32
49783,12,1,19,409,0,9,28,9
48282,18,3866,866,107,0,10,23,51
14764,18,1,19,107,0,22,8,7
80331,12,1,17,409,0,13,11,18
97684,12,1,19,265,0,15,38,29
227493,18,1,1,107,0,1,20,40
3649,13,1,53,477,0,3,56,17
125837,3,1,14,173,0,15,54,53
92964,12,1,13,178,0,6,13,42
16535,3,1,64,280,0,11,27,23
28627,2,1,19,243,0,5,52,41
110596,3,1,19,280,0,11,21,18
1195,17,1,10,280,0,2,52,6
4570,32,1,15,376,0,3,42,37
146717,9,1,13,134,0,13,10,50
20593,18,1,3,107,0,2,25,15
259170,3,1,35,280,0,3,5,44
25097,2,1,10,205,0,17,16,56
108858,6,1,25,125,0,12,13,37
188580,21,1,3,128,0,1,2,35
105748,3,1,17,30,0,2,48,32
67197,12,1,41,340,0,10,39,48
183032,3,1,13,379,0,0,16,3
94877,9,1,22,334,0,12,5,53
196951,14,1,25,349,0,8,33,24
29943,18,1,13,107,0,10,18,34
264419,6,1,19,459,0,8,4,13
211520,2,1,10,469,0,12,33,5
17899,6,1,19,459,0,7,40,38
100510,2,1,19,435,0,12,38,49
12828,26,1,13,266,0,13,19,5
120005,12,1,53,245,0,5,26,3
29290,18,1,13,107,0,2,28,4
95766,15,1,47,245,0,7,59,52
88143,27,1,27,153,0,0,56,44
159329,3,1,19,280,0,6,59,47
74306,25,1,37,259,0,23,18,52
105587,9,1,14,466,0,0,40,23
93620,202,1,22,421,0,12,36,15
140653,1,1,13,178,0,2,38,42
44490,1,1,17,153,0,10,14,9
60131,3,1,19,280,0,0,51,18
119347,2,1,19,258,0,12,32,52
111025,18,1,13,107,0,16,10,54
23544,26,1,37,121,0,2,33,15
119901,14,1,19,208,0,0,33,39
100393,3,2,58,402,0,14,16,13
166224,10,1,25,113,0,23,30,3
203958,18,1,1,107,0,10,48,30
50983,32,1,19,376,0,8,44,37
14271,3,1,13,409,0,4,21,38
67188,3,1,19,211,0,3,11,3
210014,2,1,18,477,0,12,41,15
152055,11,1,53,469,0,11,16,31
7565,2,1,37,237,0,5,31,3
125205,2,1,13,477,0,19,5,19
123623,7,1,13,101,0,2,15,14
177104,2,1,19,469,0,0,32,12
116677,21,1,19,128,0,3,17,13
5348,1,1,30,115,0,12,45,38
118094,3,1,9,409,0,2,31,14
25737,2,1,19,205,0,13,35,58
1462,12,1,17,328,0,0,32,50
84107,12,1,19,178,0,7,28,51
49407,15,2,36,3,0,23,36,16
95820,19,0,50,213,0,10,18,25
101690,15,1,17,153,0,6,28,49
135920,11,1,19,173,0,10,3,18
125730,12,1,22,409,0,6,34,3
70683,28,1,13,135,0,16,11,30
28221,3,1,31,480,0,10,34,35
